token,n
pequeninos,5
perdão,5
perigoso,5
período,5
pesadelos,5
péssimo,5
pilha,5
político,5
porte,5
praia,5
prato,5
próprias,5
pulo,5
pura,5
quantia,5
rabo,5
raça,5
raimundo,5
raiva,5
rapazes,5
rasgamortalha,5
relâmpagos,5
religioso,5
restaurante,5
rosa,5
rosas,5
sabese,5
sabia,5
salão,5
sanitário,5
secretária,5
século,5
segundos,5
semanas,5
semelhantes,5
sereno,5
serrote,5
serviços,5
silenciosa,5
sinais,5
só,5
sobrado,5
sofá,5
solitária,5
sucedido,5
sucesso,5
sujeito,5
sujo,5
surpreso,5
surra,5
tanto,5
telhado,5
tentáculos,5
tia,5
tiro,5
tornouse,5
tristeza,5
troca,5
troço,5
turco,5
unhas,5
vagas,5
valha,5
vazia,5
venda,5
ver,5
visagens,5
vítima,5
vultos,5
abominável,4
adélia,4
aeroporto,4
aflito,4
agouro,4
alarido,4
alheia,4
amante,4
angico,4
angústia,4
anoitecer,4
apartamento,4
aragem,4
arrumação,4
asa,4
asco,4
assustadores,4
assustados,4
ausência,4
automóvel,4
avesso,4
baile,4
bala,4
bandeja,4
banquete,4
barão,4
barra,4
barzinho,4
bêbado,4
bêbados,4
beijo,4
bicha,4
bispo,4
boato,4
bolso,4
botija,4
botões,4
brancos,4
brasa,4
cabras,4
cachorrinha,4
cadeiras,4
calafrio,4
campo,4
cansado,4
característico,4
carreira,4
cartas,4
casada,4
catimbozeira,4
católica,4
ceifador,4
central,4
cerimônia,4
certa,4
chá,4
chamado,4
chaves,4
chegada,4
cheirosas,4
chifres,4
chiqueiro,4
cidadão,4
cidades,4
cintura,4
circunstantes,4
ciúme,4
cocacola,4
cócoras,4
comia,4
confesso,4
conhecimento,4
consciência,4
considerável,4
contrário,4
conversas,4
criminoso,4
cristos,4
cuidados,4
culpa,4
culto,4
curso,4
década,4
demoníaco,4
descomunais,4
desprezível,4
desprezo,4
deuses,4
devo,4
dezembro,4
diferente,4
difíceis,4
digno,4
diversos,4
dó,4
doida,4
donzela,4
doutorzinho,4
dr,4
echa,4
empenho,4
encanto,4
encomendas,4
enfermeiras,4
engano,4
engenheiro,4
enterro,4
escultura,4
esforço,4
esnobe,4
espaço,4
esses,4
estrago,4
estrelas,4
estrupício,4
evento,4
eventos,4
expectativa,4
explicações,4
extravagantes,4
faca,4
facão,4
faceira,4
fama,4
famoso,4
fanáticos,4
felipinho,4
